SampleID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC43_6-7cm,9053.13583272075,3189.03134923852,3381.03813295541,617.402255033093,12797.5950127582,200.484348329805,257.207538609389,358.824209727674,1066.05220929478,217.621328696228,226.239955998569,59.67635146345,353962.877015477,26846.4946807509,580.511035600676,64.7567780298227,26.4723569977094,3.29189813533815,4.47467340059986,4.35856406924547,990.847004501977,51.699654545269,5818.15150025179,297.844990789001,0,39,6.69458048847053,10.3273162934586,14.2059505692002,2.42367058813762,11.8313253347595,1.93852291077612,12.2631011805256,55.9606138204096,4.52899799433128,59.3421556367286,12.2631011805256,55.9606138204096,1468.58637795915,68.7764148753341,11.9813266528422,1.00158928501035,35.4654107391087,55.9813843756287,13.1224459789917,55.9606331244368,0.614820103618902,5.95014373778653,0,13,0,16,52.7556151301746,29.0178438537612,52.7556151301746,30.1515930802828,525.367427142265,60.3886192443219,52.7556151301746,113.181225657244,52.7556151301746,200.529888667236,52.7556151301746,260.765514792983,0,1128,52.7556151301746,49.3363187370606,52.7556151301746,25.2920071477857,55.7828887723488,23.1349050348975,56.9937982292185,23.1350146432169,6.5739348361809,1.50534641967053,52.7556151301746,25.2920071477857,48,5,0,394,502086.18029456,5374.94771152723
CR_MC43_7-8cm,1180.60962880788,5043.69447898129,3963.68616439276,626.128570014607,13040.7895907241,200.19634378445,257.207538609389,367.929162931542,916.188512513374,202.965392421548,189.288129664529,59.9660856430879,343358.165359597,26368.0837614019,512.242512804961,64.851605026757,24.8930919290886,3.24960926190609,4.47467340059986,4.35856406924547,1059.88802494487,51.9149284457878,6137.78657070117,299.498268291663,0,41,6.69458048847053,10.8861427118725,15.4777798479784,2.42597066412932,15.9314068862057,1.95258472319609,12.2631011805256,55.9606138204096,4.52899799433128,59.3421556367286,13.1224459789917,55.9606331244368,1521.01401835004,69.97228793664,11.9813266528422,1.00158928501035,32.0280315452445,55.9811791542184,14.8411355759237,55.9606756533165,0.614820103618902,6.44445271249846,0,15,0,18,52.7556151301746,30.1515930802828,52.7556151301746,31.3496447562642,680.820357286169,68.6628399844964,52.7556151301746,123.275149378058,52.7556151301746,222.195312161724,52.7556151301746,287.310458039766,0,1251,52.7556151301746,46.6829993031391,64.2592549704366,23.38786079884,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,6.5739348361809,1.50534641967053,52.7556151301746,25.2920071477857,42,5,0,414,509857.235307089,5216.78501187397
CR_MC43_8-9cm,1180.60962880788,5034.1582154871,4968.10180067654,633.373367625915,12617.9919498788,195.652015462178,257.207538609389,365.327422595222,940.556593290839,205.066181813474,137.727441756567,59.952160221638,350511.265096132,26690.4006091693,513.581111291151,64.3153873541732,24.8930919290886,3.24960926190609,4.47467340059986,4.35856406924547,1193.54435939201,52.5118567404314,6034.45626775417,298.814289046914,0,40,23.6756328754831,3.81590757716046,15.4777798479784,2.42597066412932,14.7599550143639,1.94815421473121,13.1224459789917,55.9606331244368,4.52899799433128,59.0614944688538,13.9817907774577,55.9606537354062,1515.55280580932,69.7031198806366,11.0965002584125,1.00037453250161,34.6060659406426,55.9813311106475,15.7004803743898,55.9606988781659,0.614820103618902,6.93886675531402,0,14,0,16,52.7556151301746,29.7661605401732,52.7556151301746,30.5441642234802,677.914695040489,65.0646779850834,52.7556151301746,116.739822669828,52.7556151301746,209.553847963746,52.7556151301746,272.225825492515,0,1176,52.7556151301746,43.563430708468,52.7556151301746,25.5443881420183,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,7.99553531158302,1.51077535715932,52.7556151301746,25.2920071477857,51,5,0,401,506510.946661862,5182.99884490091
CR_MC43_9-10cm,1180.60962880788,5037.33688326816,3960.42507466457,623.890004016349,13044.226969918,199.610867779667,257.207538609389,387.449893911648,953.959037718445,206.544549317663,195.303543253792,59.9679960647518,347113.274614091,26537.3245825732,497.517929456865,64.2170782018422,24.1034593947782,3.22924492958939,4.47467340059986,4.35856406924547,1019.17152570932,51.7863261087121,5982.10224759436,298.524463101608,0,40,6.69458048847053,10.3273162934586,16.1136944873675,2.42719372540477,11.2455993988387,1.93684635060908,11.4037563820596,55.960595823326,4.52899799433128,59.3421556367286,13.1224459789917,55.9606331244368,1516.64504831746,69.7313380226267,11.0965002584125,1.00037453250161,33.7467211421766,55.9812791520829,13.1224459789917,55.9606331244368,0.614820103618902,6.44445271249846,0,13,0,16,52.7556151301746,29.3881474779226,52.7556151301746,30.5441642234802,609.631632266998,63.9841612694083,52.7556151301746,116.146404423716,52.7556151301746,205.943653809199,52.7556151301746,270.416058127057,0,1169,52.7556151301746,47.2100636172177,52.7556151301746,25.5443881420183,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,7.28473507388196,1.50793089510435,52.7556151301746,25.2920071477857,45,5,0,408,510904.776616419,5224.15140010253
CR_MC43_10-12cm,1180.60962880788,4943.60337558849,3575.61648673766,619.533661283514,12712.5198777101,196.257112745528,257.207538609389,366.628260941995,1133.06443143281,224.537100667801,227.958645595501,59.9794084427286,339133.868528681,26176.9344216021,549.0539711752,64.542975302407,24.1034593947782,3.22924492958939,4.47467340059986,3.80626647164413,850.99468104073,51.1757236772878,5935.94804561136,298.16659565945,0,39,6.69458048847053,10.3273162934586,18.0214384055348,2.43115411190171,11.2455993988387,1.93684635060908,10.5444115835935,55.9605791331873,4.52899799433128,59.6338803810242,13.1224459789917,55.9606331244368,1500.26141069531,69.3090067327086,11.0965002584125,1.00037453250161,36.3247555375747,55.981438947023,13.1224459789917,55.9606331244368,0.614820103618902,6.93886675531402,0,13,0,17,52.7556151301746,30.1515930802828,52.7556151301746,30.9436022757413,657.575059320726,67.1022865674276,52.7556151301746,121.491444633832,52.7556151301746,216.174498180799,52.7556151301746,283.086204202123,0,1215,52.7556151301746,52.5736648131984,52.7556151301746,25.2920071477857,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,7.99553531158302,1.51077535715932,52.7556151301746,25.2920071477857,43,5,0,405,513178.60295316,5243.8307777615
CR_MC43_12-14cm,1180.60962880788,4977.7514838112,3827.80742571801,613.118459516067,12725.4100496871,193.917722451408,257.207538609389,361.425296283246,1035.59210832295,214.357323400689,240.848817572492,59.6820134576681,342707.20111071,26336.7043905092,563.778554523295,63.5654928926356,22.5241943261574,3.19012627250199,4.47467340059986,4.35856406924547,777.527954159189,50.8758678368778,5756.15331848359,296.890597753876,0,38,6.69458048847053,9.76931993178731,14.8418652085893,2.42479626146248,11.2455993988387,1.42688451733692,10.5444115835935,55.9605791331873,4.52899799433128,59.0614944688538,13.9817907774577,55.9606537354062,1442.37255776371,67.8333632152426,8.44202107512347,0.997282520777022,35.4654107391087,55.9813843756287,13.1224459789917,55.9606331244368,0.614820103618902,5.45596838866175,0,12,0,15,52.7556151301746,29.0178438537612,52.7556151301746,29.7661605401732,631.424099109602,61.9787657878339,52.7556151301746,109.035708785009,52.7556151301746,195.11809032704,52.7556151301746,252.926516258472,0,1103,52.7556151301746,44.0779000493233,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,7.28473507388196,1.50793089510435,52.7556151301746,25.0517192310941,36,4,0,373,525825.580352185,5353.84694158717
CR_MC59_0-1cm(2),1180.60962880788,6003.82930091894,7383.48225935897,684.865555443107,19265.8833108121,265.751569298071,257.207538609389,392.657551372218,1122.09879508295,223.58084829302,524.432601066284,60.4754799285251,302930.282703225,24598.4588029172,1024.92573301592,75.1772591543841,19.3656641889159,3.11860591742144,9.18638256887694,1.93245829031631,464.187938302977,50.0824751505712,8105.19553881199,313.316659781272,62,16,6.69458048847053,10.3273162934586,13.570035929811,2.42259371208193,6.55979191147169,1.41276136560363,4.52899799433128,65.2231333991487,4.52899799433128,59.3421556367286,18.2785147697879,55.9607763943333,1476.23207551616,68.6932880948304,11.0965002584125,1.00037453250161,39.7621347314388,55.9816702966519,15.7004803743898,55.9606988781659,0.614820103618902,6.44445271249846,0,15,0,17,52.7556151301746,30.5441642234802,52.7556151301746,31.3496447562642,627.065605741081,65.4389094528175,52.7556151301746,120.897092504076,52.7556151301746,213.164807788179,52.7556151301746,280.672533426672,0,1197,52.7556151301746,54.2111308785783,52.7556151301746,25.2920071477857,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,-1.24486777853074,-1.49436510495011,52.7556151301746,25.2920071477857,53,5,0,399,520138.436475936,5310.92643003182
CR_MC59_1-2cm(2),9924.88479065481,3493.3634969056,5917.07891158102,661.552515590641,18941.9103217904,269.229978483588,257.207538609389,383.544715188683,534.828048346048,172.13693154785,513.261118686226,60.4659867588923,312742.469515732,25019.1154138673,972.720392054493,73.0247662451386,17.7863991202951,3.08635987574617,9.18638256887694,1.93245829031631,477.465057618918,50.1021354101647,8070.06323581002,314.190451304106,0,46,6.69458048847053,9.76931993178731,15.4777798479784,2.42597066412932,7.14551784739256,1.41412637170931,7.1070323897294,55.9605254421031,4.52899799433128,59.6338803810242,14.8411355759237,55.9606756533165,1435.81910271485,67.9494849608165,11.0965002584125,1.00037453250161,44.058858723769,55.9819888774944,13.1224459789917,55.9606331244368,0.614820103618902,5.45596838866175,0,13,0,15,52.7556151301746,29.0178438537612,52.7556151301746,29.7661605401732,611.084463389838,62.8245549170668,52.7556151301746,114.366906736256,52.7556151301746,202.334266309449,52.7556151301746,264.384153694876,0,1141,52.7556151301746,47.2100636172177,52.7556151301746,25.2920071477857,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,0.176732696871375,1.49396339018134,52.7556151301746,25.0517192310941,35,5,0,387,518129.288337123,5590.90780390247
CR_MC59_2-3cm(2),1180.60962880788,5715.33874867313,6380.15365298458,665.657590997652,18505.3631641697,256.331867102149,257.207538609389,383.544715188683,386.182755603512,163.677667074136,432.482707630418,60.4033889659407,315136.130477043,25121.469853511,1023.58713452973,74.6277548785217,20.9449292575366,3.15322041498421,4.47467340059986,4.35856406924547,467.728503453894,50.0876644268966,8232.63624577996,314.229688829999,0,46,6.69458048847053,10.3273162934586,16.7496091267566,2.42846537177024,5.97406597555081,1.41151187683988,9.68506678512751,55.9605637499947,4.52899799433128,59.3421556367286,16.5598251728558,55.9607234099531,1477.3243180243,68.7211784344195,11.9813266528422,1.00158928501035,42.340169126837,55.9818575260134,14.8411355759237,55.9606756533165,0.614820103618902,6.44445271249846,0,13,0,16,52.7556151301746,29.3881474779226,52.7556151301746,30.1515930802828,637.235423600963,64.4093244349473,52.7556151301746,114.959944503622,52.7556151301746,204.138856553033,52.7556151301746,266.796792375559,0,1153,52.7556151301746,45.6347073059122,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,-0.534067540829683,-1.49403059270892,52.7556151301746,25.2920071477857,47,5,0,388,519808.448073325,5305.23905642345
CR_MC59_3-4cm,1180.60962880788,5097.74787266075,5994.25803514828,633.548312069208,17425.1667524979,241.256005698615,257.207538609389,370.531155157594,1068.48901737253,217.681705105881,337.095435000688,59.7281491045182,316625.197791013,25186.6344980386,847.561433595681,69.1146925977181,26.4723569977094,3.29189813533815,4.47467340059986,4.35856406924547,504.90443753853,50.1444972563878,7020.91622655484,305.001952658891,0,41,6.69458048847053,9.21230445961811,14.8418652085893,2.42479626146248,7.14551784739256,1.41412637170931,9.68506678512751,55.9605637499947,4.52899799433128,58.7920553233212,13.9817907774577,55.9606537354062,1400.86734245426,66.7919783189599,8.44202107512347,0.997282520777022,41.4808243283709,55.9817938098405,10.5444115835935,55.9605791331873,0.614820103618902,4.9619665896595,0,11,0,13,52.7556151301746,27.9562214233414,52.7556151301746,28.6555485467435,690.990175146051,59.621389474319,52.7556151301746,100.178575557744,52.7556151301746,175.294599947959,52.7556151301746,231.832269232416,0,989,52.7556151301746,39.5405577172046,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,5.15233436077878,1.50096266556076,52.7556151301746,25.0517192310941,39,4,0,373,542253.67486446,5508.18234766516
CR_MC59_4-5cm,1180.60962880788,5824.76809502633,5796.41859163784,628.078435760741,17928.742804399,244.883013700566,257.207538609389,364.026648573498,1053.86816890605,216.197690019843,366.313158148533,59.7451859636028,321928.894154885,25415.7669307379,912.483460175921,70.2826683433102,27.2619895320198,3.31380276601258,4.47467340059986,4.35856406924547,510.215285264906,50.1529653700908,7373.61699394725,307.499880005998,0,42,6.69458048847053,9.21230445961811,15.4777798479784,2.42597066412932,12.4170512706804,1.43154595686885,9.68506678512751,55.9605637499947,4.52899799433128,58.5339931693694,13.9817907774577,55.9606537354062,1429.26564766599,67.5029650934149,10.2116738639828,0.999251618373067,44.9182035222351,55.9820565127931,14.8411355759237,55.9606756533165,0.614820103618902,4.46819590402912,0,10,0,13,52.7556151301746,27.2927238188584,52.7556151301746,27.6198292795865,574.763685318833,55.3904085807038,52.7556151301746,94.2975697716766,52.7556151301746,167.495558666994,52.7556151301746,222.195312161724,0,944,52.7556151301746,37.1259358583001,52.7556151301746,25.0517192310941,52.7556151301746,23.300423011676,52.7556151301746,23.386792046646,3.73073388537667,1.49763327299341,52.7556151301746,25.0517192310941,38,4,0,376,530833.841837645,5399.18136894212
