Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC36_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7669,4054,289,3286,71,683365,3739,315,7,36,1,8,2,648,7,5140,55,0,35,0,19,41,4,21,2,6,1,0,2,17,1,3263,101,21,5,0,39,0,8,0,14,0,15,0,18,0,35,0,37,389,40,0,207,0,376,0,501,0,1297,0,78,0,18,0,5,0,6,15,2,0,18,0,49,0,36,NaN,NaN
CR_MC36_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7706,3239,285,3034,70,702112,3825,334,7,35,1,9,2,619,7,4964,54,0,34,0,19,39,4,17,2,5,1,0,2,15,1,3381,108,16,5,0,43,0,8,0,17,0,16,0,20,0,36,0,39,530,43,0,218,0,404,0,524,0,1387,0,78,0,17,0,5,0,6,15,2,0,18,0,53,0,47,NaN,NaN
CR_MC36_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7679,3824,287,3118,70,693375,3769,341,8,40,1,0,7,613,7,4683,51,0,32,26,6,33,3,20,2,5,1,0,2,14,1,2980,88,15,5,45,13,0,7,0,13,0,14,0,17,0,32,0,35,488,39,0,198,0,360,0,465,0,1247,0,76,0,17,0,5,0,6,13,2,0,18,0,46,0,33,NaN,NaN
CR_MC38_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7966,3551,294,2741,70,716024,3969,323,7,36,1,0,6,537,6,4964,56,0,35,27,7,42,4,20,2,0,4,0,2,14,1,3020,99,29,6,0,41,0,7,0,16,0,15,0,20,0,37,0,38,320,41,0,220,0,397,0,512,0,1340,0,95,0,19,0,5,0,7,15,2,0,19,0,44,0,39,NaN,NaN
CR_MC38_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7725,4225,291,3035,70,685660,3764,312,7,33,1,0,7,593,7,4894,53,0,34,0,19,38,4,19,2,6,1,0,2,17,1,3223,99,16,5,0,40,0,8,0,15,0,15,0,19,0,35,0,36,403,40,0,211,0,370,0,491,0,1292,0,97,0,18,0,5,7,2,13,2,0,18,0,49,0,38,NaN,NaN
CR_MC38_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7675,3534,282,2782,68,688408,3719,317,7,35,1,0,6,548,6,4372,47,0,30,0,18,35,3,19,2,4,1,0,2,14,1,2657,75,12,4,49,11,0,6,0,11,0,13,0,16,0,30,0,32,439,35,0,185,0,326,0,428,0,1129,0,68,0,17,0,5,0,6,11,2,0,17,0,39,0,30,NaN,NaN
CR_MC43_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7628,4126,286,2656,67,680211,3680,482,9,31,1,0,6,697,7,6734,65,0,39,0,19,34,3,29,2,6,1,0,2,14,1,2893,88,0,13,0,38,0,7,0,14,0,14,0,18,0,34,0,35,351,38,0,203,0,366,0,476,0,1255,0,73,0,17,0,5,0,6,13,2,0,18,0,46,0,37,NaN,NaN
CR_MC43_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,8211,4095,306,3203,75,729696,4124,523,10,39,2,8,2,891,9,8538,84,0,47,0,22,31,4,30,3,9,2,0,2,16,1,3192,113,23,6,0,46,0,10,0,16,0,18,0,21,0,39,0,41,375,43,0,232,0,428,0,552,0,1466,0,95,0,20,0,6,0,7,14,2,0,20,0,58,0,42,NaN,NaN
CR_MC43_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7555,3346,280,2669,67,680370,3672,499,9,35,1,0,6,774,8,6773,62,0,37,0,18,26,3,24,2,6,1,0,2,14,1,2504,69,0,11,33,11,0,6,0,12,0,13,0,15,0,28,0,31,417,34,0,179,0,324,0,419,0,1119,0,59,0,17,0,5,8,2,10,2,0,17,0,40,0,33,NaN,NaN
CR_MC45_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7399,4947,286,3615,72,631729,3445,675,11,44,2,8,2,1070,9,11699,99,0,51,21,7,46,4,35,3,8,2,0,2,21,1,3496,114,18,5,49,15,0,9,0,16,0,17,0,19,0,36,0,39,539,43,0,216,0,390,0,512,0,1373,0,99,0,19,0,6,0,7,23,2,0,19,0,54,0,42,NaN,NaN
