Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC08_0-1cm,0,6337,1783,391,8736,135,0,291,778,25,74,24,386870,1325,447,68,0,91,0,150,533,21,2016,31,0,130,29,6,22,3,13,2,5,1,0,25,10,1,1573,8,21,1,34,2,12,1,12,2,0,1102,0,1297,0,1980,0,2560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,414,0,182,0,194,9,2,0,648,47,5,0,424,596974,1392
CR_MC08_1-2cm,0,6804,0,1019,8634,133,0,285,760,24,0,213,405370,1339,311,65,40,11,0,152,583,22,2125,31,0,137,0,107,31,4,12,2,3,1,0,24,9,1,1583,7,22,1,32,2,12,1,14,2,0,1089,0,1275,0,1952,0,2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,427,8,2,0,198,10,2,0,649,49,5,0,419,580391,1387
CR_MC08_2-3cm,0,6261,2064,387,8472,132,0,288,773,24,0,222,377520,1286,423,66,0,86,0,148,488,20,2068,31,0,128,22,6,30,4,14,2,0,38,0,23,6,1,1555,7,21,1,29,2,13,1,15,2,0,1082,0,1272,0,1953,0,2512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,397,0,178,0,186,8,2,0,635,48,5,0,422,606433,1354
CR_MC22_0-1cm,15780,3199,38051,654,114915,651,1377,65,2831,39,11508,76,164214,774,4142,108,151,13,0,167,15312,110,60064,308,0,518,361,10,384,8,168,5,30,2,0,19,74,1,737,5,89,2,137,2,21,1,24,2,0,733,0,851,0,1289,0,1650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,354,0,131,10,2,68,3,0,440,54,5,0,267,569497,2362
CR_MC22_1-2cm,18876,3355,33918,648,109604,647,1363,67,2583,39,11079,76,175550,858,4317,114,141,13,0,171,15924,117,60932,323,0,536,381,11,387,9,173,5,30,2,0,19,68,1,734,5,99,2,126,2,24,2,24,2,0,753,0,872,0,1312,0,1673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,381,0,141,9,3,66,3,0,447,45,5,0,274,563548,2453
CR_MC22_2-3cm,13956,3496,35172,677,111657,672,1771,74,2206,39,11142,79,209923,1045,5114,130,167,15,66,20,17008,129,64294,350,0,576,403,12,427,10,178,5,27,2,0,20,66,2,817,6,146,2,137,3,21,2,24,2,0,791,0,911,0,1374,0,1757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,400,0,149,14,3,68,3,0,482,48,5,11,2,525137,2482
CR_MC25_0-1cm,0,6398,1597,408,8771,139,0,289,686,26,0,220,430950,1456,415,71,0,96,0,160,968,29,3013,40,0,163,36,7,34,4,12,2,7,1,0,25,10,1,1710,8,21,1,32,2,11,1,20,2,0,1134,0,1325,0,1988,0,2555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,452,0,195,0,215,9,2,0,699,54,5,0,462,551646,1521
CR_MC25_1-2cm,0,6305,1652,395,8664,135,0,287,644,25,0,218,407963,1378,308,66,0,92,0,155,882,27,2809,37,0,151,25,6,27,4,16,2,5,1,0,24,11,1,1638,8,19,1,36,2,12,1,14,2,0,1095,0,1275,0,1926,0,2458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,421,0,177,0,195,10,2,0,668,58,5,0,437,575206,1444
CR_MC25_2-3cm,0,6867,0,1035,8793,139,0,287,659,26,0,219,441999,1475,443,73,42,12,0,166,1015,30,3089,41,0,169,21,6,35,4,14,2,0,45,0,26,10,1,1707,8,20,1,32,2,13,1,18,2,0,1134,0,1326,0,2012,0,2569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,7,0,188,0,222,15,2,0,708,57,5,0,466,541997,1529
CR_MC32_0-1cm,0,6505,3884,410,20121,189,0,291,1043,26,535,26,376252,1272,725,74,39,11,0,153,877,26,6323,55,0,215,22,6,45,4,20,2,0,41,0,23,14,1,1500,7,15,1,35,2,11,1,18,2,0,1050,0,1220,0,1866,0,2393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,399,0,167,0,195,13,2,0,627,44,5,0,412,588464,1403
